unit_type,unit_value,unit_variants
currency,rupees,rupees | rupee | rs | rupya | rupaya | rupaye | rupye | rupay | paisa | paise | inr |  ₹  |રૂપિયા | ભારતીય રૂપિયા | પૈસા
currency,dollar,Dollar | usd | $ | ડોલર
channel,channel, ચનેલ  | ચેનલ | ચણેલ | નંબર
