value,variants
Semma Botha Aagatha,Semma Botha Aagatha
Kutra Parambarai,Kutra Parambarai
Engitta Modhathey,Engitta Modhathey
Sabash Naidu,Sabash Naidu
Enai Noki Paayum Thota,Enai Noki Paayum Thota
2,2
Meenkuzhambum Manpaanayum,Meenkuzhambum Manpaanayum
Vada Chennai,Vada Chennai
Kuttram 23,Kuttram 23
Anbanavan Asaradhavan Adangadhavan,Anbanavan Asaradhavan Adangadhavan
Bogan,Bogan
Remo,Remo
Balloon,Balloon
Saahasam Swaasaga Saagipo,Saahasam Swaasaga Saagipo
Yesu Kristu Rendava Rakada,Yesu Kristu Rendava Rakada
Saradaa,Saradaa
Oka Tupaki Moodu Pittalu,Oka Tupaki Moodu Pittalu
Mayadari Malligadu,Mayadari Malligadu
Sare Nee Istam,Sare Nee Istam
Baahubali: The Conclusion,Baahubali: The Conclusion
Gautamiputra Satakarni,Gautamiputra Satakarni
Sabash Naidu,Sabash Naidu
Ventilator,Ventilator
Bachchan 2,Bachchan 2
Cafe Town,Cafe Town
Nataraja Service,Nataraja Service
KGF,KGF
Pulimurugan,Pulimurugan
Veettachan,Veettachan
Oppam,Oppam
Carry On Jatta 2,Carry On Jatta 2
Chaar Sahibzaade - Rise Of Banda Singh Bahadur,Chaar Sahibzaade - Rise Of Banda Singh Bahadur
Toofan Singh,Toofan Singh
Dinosaur Adventure- Combo,Dinosaur Adventure- Combo
The House of Dead Horror- Combo,The House of Dead Horror- Combo
Sons Of Ram ,Sons Of Ram 
Temple Run 7D- Combo,Temple Run 7D- Combo
Ride Show and Adventure Show,Ride Show and Adventure Show
Ride show and Haunted Show,Ride show and Haunted Show
Snow Ride and Horror Show,Snow Ride and Horror Show
Kids Ride and Adventure Show,Kids Ride and Adventure Show
Adventure Show and Horror Show,Adventure Show and Horror Show
Horror Show,Horror Show
Forest Adventure & Aero Bike,Forest Adventure & Aero Bike
Galactic Bumper Cars + Adventure Show,Galactic Bumper Cars + Adventure Show
Galactic Bumper Car+ Horror,Galactic Bumper Car+ Horror
Galactic Bumper Car + Scary,Galactic Bumper Car + Scary
Galactic Bumper Car + Kids Scary,Galactic Bumper Car + Kids Scary
Airfighter ,Airfighter 
Ride Show and Horror Show,Ride Show and Horror Show
Ride Show and Adventure Show,Ride Show and Adventure Show
Haunted House 7D,Haunted House 7D
Wild Roller Coaster- Combo,Wild Roller Coaster- Combo
Deep Sea Hunt- Combo ,Deep Sea Hunt- Combo 
Treasure Hunter- Combo ,Treasure Hunter- Combo 
Curse of Egypt ,Curse of Egypt 
Sons Of Sardaar,Sons Of Sardaar
Split,Split
Vismaya,Vismaya
Justice League,Justice League
Sheene,Sheene
Transformers: The Last Knight,Transformers: The Last Knight
Beiimaan Love,Beiimaan Love
Max Steel,Max Steel
Dunkirk,Dunkirk
Mudi Sooda Mannan,Mudi Sooda Mannan
Resident Evil: The Final Chapter,Resident Evil: The Final Chapter
Devi (L),Devi (L)
Thor: Ragnarok,Thor: Ragnarok
The Sea of Trees,The Sea of Trees
Shatamanam Bhavati,Shatamanam Bhavati
The Great Gilly Hopkins,The Great Gilly Hopkins
Veeram,Veeram
In The Shadows,In The Shadows
Byomkesh Pawrbo,Byomkesh Pawrbo
Crazy Boy,Crazy Boy
Student Of The Year 2,Student Of The Year 2
Dear Zindagi,Dear Zindagi
Crack,Crack
Hidden Figures,Hidden Figures
Kadavul Irukaan Kumaru,Kadavul Irukaan Kumaru
Thrissivaperoor Kliptham,Thrissivaperoor Kliptham
Ennodu Vilayadu,Ennodu Vilayadu
Kadugu,Kadugu
M.S. Dhoni The Untold Story (Telugu),M.S. Dhoni The Untold Story (Telugu)
Veeram,Veeram
Veeram,Veeram
Same Kind of Different as Me,Same Kind of Different as Me
The Love Witch,The Love Witch
Kaashmora,Kaashmora
Kaashmora,Kaashmora
Spider-Man: Homecoming,Spider-Man: Homecoming
The Great Father,The Great Father
Maanagaram,Maanagaram
The Ring,The Ring
Aankhen 2,Aankhen 2
Sarkar 3,Sarkar 3
Khaidi No 150,Khaidi No 150
Kidnap ,Kidnap 
Imperium,Imperium
Bank Chor,Bank Chor
Stagecoach: The Texas Jack Story,Stagecoach: The Texas Jack Story
Lion,Lion
Captain Nawab,Captain Nawab
The Disappointments Room,The Disappointments Room
Doddmane Hudga,Doddmane Hudga
Commando 2,Commando 2
Incarnate,Incarnate
Dino Planet,Dino Planet
On the Blue Planet,On the Blue Planet
Flight of Fancy,Flight of Fancy
Gopal,Gopal
Two Pieces Of Small Glass,Two Pieces Of Small Glass
Cosmic Quiz Part 3-Phases of the Moon,Cosmic Quiz Part 3-Phases of the Moon
Dark Matter,Dark Matter
Simran,Simran
Motu Patlu - King of Kings,Motu Patlu - King of Kings
Terminator 2,Terminator 2
Aanandam,Aanandam
Oru Muthassi Gadha,Oru Muthassi Gadha
Manmarziyan,Manmarziyan
Shut In,Shut In
Kaththi Sandai,Kaththi Sandai
Okadochadu,Okadochadu
Dinosaur And Crazy Snowmobile,Dinosaur And Crazy Snowmobile
House of Dead And Wild coaster,House of Dead And Wild coaster
Exit Thread,Exit Thread
USS Indianapolis: Men of Courage,USS Indianapolis: Men of Courage
Katamarayudu,Katamarayudu
Hyper,Hyper
Kavalai Vendam,Kavalai Vendam
Majnu,Majnu
Mubarakan,Mubarakan
Ek Tera Saath,Ek Tera Saath
Disco 82,Disco 82
Bleed For This,Bleed For This
Baba Retired Zaale,Baba Retired Zaale
Brahm,Brahm
Bardo,Bardo
Bus Stop,Bus Stop
Thugs of Hindostan,Thugs of Hindostan
Passengers,Passengers
Ribbon,Ribbon
Power Paandi,Power Paandi
Collateral Beauty,Collateral Beauty
Live By Night,Live By Night
Cosmic Quiz Part 1-Earth,Cosmic Quiz Part 1-Earth
Cosmic Quiz Part 2- The Solar System,Cosmic Quiz Part 2- The Solar System
Free Fire,Free Fire
Nocturnal Animals,Nocturnal Animals
The Promise,The Promise
Chennai 600028 Second Innings,Chennai 600028 Second Innings
Naam Shabana,Naam Shabana
Paterson,Paterson
Tiger Zinda Hai,Tiger Zinda Hai
Uppu Huli Kara,Uppu Huli Kara
Saansein,Saansein
Miss Sloane,Miss Sloane
Dieyana House,Dieyana House
Padmavati,Padmavati
Annabelle 2,Annabelle 2
World War Z 2,World War Z 2
Smurfs: The Lost Village,Smurfs: The Lost Village
Blazing Samurai,Blazing Samurai
Black Panther,Black Panther
Toy Story 4,Toy Story 4
Tum Bin 2,Tum Bin 2
The Bye Bye Man,The Bye Bye Man
Shazam,Shazam
Patriots Day,Patriots Day
Sardar Saab,Sardar Saab
MSG-The Warrior Lion Heart,MSG-The Warrior Lion Heart
Lighthouse Keeper,Lighthouse Keeper
Guru (Telugu),Guru (Telugu)
Nagarahavu,Nagarahavu
Saithan,Saithan
Bethaladu,Bethaladu
Fist Fight,Fist Fight
Premam (Telugu),Premam (Telugu)
Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets
The Eyes of My Mother,The Eyes of My Mother
Trespass Against Us,Trespass Against Us
Naruda DONORuda,Naruda DONORuda
Krrish 4,Krrish 4
Takadum,Takadum
Adangathey,Adangathey
Sila Samayangalil,Sila Samayangalil
Byomkesh O Chiriakhana,Byomkesh O Chiriakhana
