value,variants
Chandni Chowk,Chandni Chowk
Daryaganj,Daryaganj
Jhandewalan,Jhandewalan
Karol Bagh,Karol Bagh
Bara Hindu Rao,Bara Hindu Rao
Paharganj,Paharganj
Rajender Nagar,Rajender Nagar
Sadar Bazaar,Sadar Bazaar
New Delhi,New Delhi
Barakhamba Road,Barakhamba Road
Chanakyapuri,Chanakyapuri
Connaught Place,Connaught Place
Gautampuri,Gautampuri
Gole Market,Gole Market
Golf Links,Golf Links
INA Colony,INA Colony
Khan Market,Khan Market
Laxmibai Nagar,Laxmibai Nagar
Pragati Maidan,Pragati Maidan
East Delhi,East Delhi
Brij Puri,Brij Puri
East Vinod Nagar,East Vinod Nagar
Gandhi Nagar,Gandhi Nagar
Geeta Colony,Geeta Colony
Jhilmil Colony,Jhilmil Colony
Krishna Nagar,Krishna Nagar
Laxmi Nagar,Laxmi Nagar
Mayur Vihar,Mayur Vihar
Pandav Nagar,Pandav Nagar
Patparganj,Patparganj
Preet Vihar,Preet Vihar
Anand Vihar,Anand Vihar
Shakarpur,Shakarpur
Shastri Nagar,Shastri Nagar
Silampur,Silampur
Vasundhara Enclave,Vasundhara Enclave
Vishwas Nagar,Vishwas Nagar
Vivek Vihar,Vivek Vihar
Shahdara,Shahdara
South Delhi,South Delhi
Alaknanda,Alaknanda
Chhattarpur,Chhattarpur
Chittaranjan Park,Chittaranjan Park
Dayanand Colony,Dayanand Colony
Defence Colony,Defence Colony
East of Kailash,East of Kailash
Friends Colony,Friends Colony
Govindpuri,Govindpuri
Greater Kailash,Greater Kailash
Green Park,Green Park
Gulmohar Park,Gulmohar Park
Hauz Khas,Hauz Khas
Hauz Khas Village,Hauz Khas Village
Jaitpur,Jaitpur
Jamroodpur Village,Jamroodpur Village
Jangpura,Jangpura
Jasola,Jasola
Jor Bagh,Jor Bagh
Kailash Colony,Kailash Colony
Kalkaji,Kalkaji
Khanpur,Khanpur
Khirki Village,Khirki Village
Kotla Mubarakpur,Kotla Mubarakpur
Lajpat Nagar,Lajpat Nagar
Lodi Colony,Lodi Colony
Maharani Bagh,Maharani Bagh
Malviya Nagar,Malviya Nagar
Mehrauli,Mehrauli
Neeti Bagh,Neeti Bagh
Nehru Place,Nehru Place
Netaji Nagar,Netaji Nagar
New Friends Colony,New Friends Colony
Nizamuddin West,Nizamuddin West
Okhla,Okhla
Pulpehaladpur,Pulpehaladpur
Safdarjung Enclave,Safdarjung Enclave
Sainik Farm,Sainik Farm
Saket,Saket
Sarita Vihar,Sarita Vihar
Sarojini Nagar,Sarojini Nagar
Sarvodaya Enclave,Sarvodaya Enclave
Shahpur Jat,Shahpur Jat
Siri Fort,Siri Fort
South Extension,South Extension
Sriniwaspuri,Sriniwaspuri
Sundar Nagar[1],Sundar Nagar[1]
Tughlaqabad,Tughlaqabad
Badarpur,Badarpur
South West Delhi,South West Delhi
Dakshinapuram,Dakshinapuram
Delhi Cantonment,Delhi Cantonment
Dhaula Kuan,Dhaula Kuan
Dwarka,Dwarka
Ghitorni,Ghitorni
Inderpuri,Inderpuri
Kirby Place,Kirby Place
Kishangarh Village,Kishangarh Village
Mahipalpur,Mahipalpur
Moti Bagh,Moti Bagh
Munirka,Munirka
Najafgarh,Najafgarh
Naraina,Naraina
Rama Krishna Puram,Rama Krishna Puram
Rajokri,Rajokri
Rangpuri,Rangpuri
Sadar Bazaar,Sadar Bazaar
Sarojini Nagar,Sarojini Nagar
Uttam Nagar,Uttam Nagar
Vasant Kunj,Vasant Kunj
Vasant Vihar,Vasant Vihar
West Delhi,West Delhi
Ashok Nagar,Ashok Nagar
Bali Nagar,Bali Nagar
