unit_type,unit_value,unit_variants
currency,rupees,rupees | rupee | rs | rupya | rupaya | rupaye | rupye | rupay | paisa | paise | inr |  ₹  | ரூபாய் | பணம்| பண
currency,dollar,Dollar | usd | $ | டாலர்
