number,name_variants,number_value,number_type
९१,इक्यानबे|ikyanabe|ikyanabay|ikyanbe|ikyanbay|ekyanabe|ekyanabay|ekyanbe|ekyanbay,91,unit
९२,बानवे|बनाबे|banabe|banabay|banbe|banbay,92,unit
९३,तिरानवे|tiranave|tiranawe|tirannave|tirannawe,93,unit
९४,चौरानवे|chauranave|chauranawe|chauranve|chauranwe,94,unit
९५,पचानवे|पंचानवे|pachanave|pachanawe|pachanve|pachanwe|panchanave|panchanawe|panchanve|panchanwe,95,unit
९६,छियानवे|chhiyanave|chhiyanawe|chhiyanve|chhiyanwe|chhianave|chhianawe|chhianve|chhianwe,96,unit
९७,सत्तानवे|सतानवे|satanve|satanwe|sattanve|sattanwe|satanave|satanawe|sattanave|sattanawe,97,unit
९८,अट्ठानवे|aththanve|aththanwe|aththanave|aththanawe|athanve|athanwe|athanave|athanawe,98,unit
९९,निन्यानवे|निन्यानबे|ninyanbe|ninyanabe|ninyanve|ninyanave|ninyanwe|ninyanawe,99,unit
१००,सौ|sau|sao,100,scale
१०००,हज़ार|हजार|hajar|hajaar|hazar|hazaar|k,1000,scale
१०००००,लाख|lakh|laakh|lac,100000,scale
१०००००००,करोड़|crore|karor|caror,10000000,scale
