value,variants
XS,xtra small|XS|extra small
S,small|S-39|S-38|S
M,medium|M-40|med|M
L,Large|L-42|L
XL,Extra large|XL-44|L-42|XL|xtra large
XXL,XXL-46|double xl|xxl
