Alfresco - The LaLit Great Eastern Kolkata,Alfresco - The LaLit Great Eastern Kolkata,
Khanabadosh,Khanabadosh,
Carrots N Celery - Sun N Sand Hotel,Carrots N Celery - Sun N Sand Hotel,
Blue Tree,Blue Tree,
Spotlight - Golden Tulip Bangalore,Spotlight - Golden Tulip Bangalore,
Cafe Kangaroos,Cafe Kangaroos,
Mosaic - Country Inn & Suites By Carlson,Mosaic - Country Inn & Suites By Carlson,
Cheelizza,Cheelizza,
Bliss,Bliss,
Mighty Small,Mighty Small,
Su Swagatam,Su Swagatam,
The Potbelly,The Potbelly,
Ristorante Prego ,Ristorante Prego ,
U D Residency,U D Residency,
Seasons The Restaurant,Seasons The Restaurant,
Wadeshwar,Wadeshwar,
My Cafe Latte,My Cafe Latte,
Kwaliti Foods & Caterers,Kwaliti Foods & Caterers,
Draught House ,Draught House ,
Wang's Kitchen,Wang's Kitchen,
512 Multi Cuisine Restaurant,512 Multi Cuisine Restaurant,
The Selfie Latte,The Selfie Latte,
Sante - Novotel,Sante - Novotel,
New Cathay Bar & Restaurant,New Cathay Bar & Restaurant,
Hotel Srushti,Hotel Srushti,
Hotel Rajvanshi Restaurant,Hotel Rajvanshi Restaurant,
Ssence - The Suryaa Hotel New Delhi,Ssence - The Suryaa Hotel New Delhi,
The Kabab Studio - Goldfinch Hotel,The Kabab Studio - Goldfinch Hotel,
BRONX - The Brew Bar,BRONX - The Brew Bar,
Town Hall,Town Hall,
Cafe Torque,Cafe Torque,
Hot Pot - Epsilon the Hotel,Hot Pot - Epsilon the Hotel,
Twisted Tacos,Twisted Tacos,
Purple Turtle,Purple Turtle,
Cafe Upper Crust,Cafe Upper Crust,
The Living Room - The Awesome Farms & Resorts,The Living Room - The Awesome Farms & Resorts,
Dosa.com,Dosa.com,
New Tandoor Family Restaurant,New Tandoor Family Restaurant,
Jashn e Audh - A Taste of Tradition,Jashn e Audh - A Taste of Tradition,
Ragoo's,Ragoo's,
Empire Restaurant,Empire Restaurant,
Naughty Angel Cafe,Naughty Angel Cafe,
Ofukuro - Park Inn,Ofukuro - Park Inn,
Ganges,Ganges,
Parivar,Parivar,
Fusion Restaurant,Fusion Restaurant,
Cake Walk,Cake Walk,
Hot Yak Restaurant,Hot Yak Restaurant,
THE BEL ST.,THE BEL ST.,
W XYZ,W XYZ,
Red Mango,Red Mango,
Zanzibar,Zanzibar,
Brown Bite,Brown Bite,
United Food Corner,United Food Corner,
Amethyst,Amethyst,
Paradise,Paradise,
Malhotra Restaurant,Malhotra Restaurant,
The Lantern - The Ritz-Carlton,The Lantern - The Ritz-Carlton,
Kimling Express,Kimling Express,
Hungry Panda,Hungry Panda,
Max Kitchen - Indulge In Food,Max Kitchen - Indulge In Food,
Indulge - The Grand New Delhi,Indulge - The Grand New Delhi,
Nimantran Restaurant & Bar,Nimantran Restaurant & Bar,
Suraj Restaurant & Bar,Suraj Restaurant & Bar,
Seasonal Tastes - The Westin Hyderabad Mindspace,Seasonal Tastes - The Westin Hyderabad Mindspace,
Kaffeeno,Kaffeeno,
Aye 1 Cafe,Aye 1 Cafe,
The Hub Lounge & Bar,The Hub Lounge & Bar,
Watsons,Watsons,
Promenade- Park Plaza,Promenade- Park Plaza,
Our Story Bistro & Tea Room,Our Story Bistro & Tea Room,
Tippler on the Roof,Tippler on the Roof,
Gandharva Inn,Gandharva Inn,
Uzzuri Deli & Bar,Uzzuri Deli & Bar,
Vintage 31,Vintage 31,
Xplode,Xplode,
Malhar Family Restaurant & Bar,Malhar Family Restaurant & Bar,
Happy Belly Bakes,Happy Belly Bakes,
The Mohan's,The Mohan's,
Wholly Crepes,Wholly Crepes,
Feast - Sheraton Bangalore,Feast - Sheraton Bangalore,
The Pasta Bar Veneto,The Pasta Bar Veneto,
Citrique - Le Meridien Gurgaon,Citrique - Le Meridien Gurgaon,
Chaarcoal,Chaarcoal,
Swastik Deluxe,Swastik Deluxe,
Indus Express - Vivanta by Taj,Indus Express - Vivanta by Taj,
Purple Hazee,Purple Hazee,
Bombay Talkies,Bombay Talkies,
Healthy Routes,Healthy Routes,
Teddy Boy,Teddy Boy,
Yantra Restaurant & Bar,Yantra Restaurant & Bar,
Red Scooter,Red Scooter,
My Bar,My Bar,
Aurum - Indian Fine Dining,Aurum - Indian Fine Dining,
Akash Deep Restaurant,Akash Deep Restaurant,
Philotes,Philotes,
Boombox Cafe Reloaded,Boombox Cafe Reloaded,
4th Dimension,4th Dimension,
Kabab E Que,Kabab E Que,
Desi Mehak,Desi Mehak,
Pebble,Pebble,
Fiery Grills,Fiery Grills,
Nom Nom - The Ashok,Nom Nom - The Ashok,
Griffin - The Artisan Bread Store,Griffin - The Artisan Bread Store,
Rotis,Rotis,
Dalchini,Dalchini,
Padharo Sa,Padharo Sa,
Souk - Taj Bengal Hotel,Souk - Taj Bengal Hotel,
Flick A Dish,Flick A Dish,
Chi Ni - Dusit Devarana,Chi Ni - Dusit Devarana,
Classic Rock Coffee Co.,Classic Rock Coffee Co.,
Qafe Bistro,Qafe Bistro,
Tasty Green,Tasty Green,
Twenty9 - Piccadily Hotel,Twenty9 - Piccadily Hotel,
SIAN,SIAN,
Canopy,Canopy,
Bites,Bites,
The Shanghai Court,The Shanghai Court,
Sizzling Szechvan,Sizzling Szechvan,
Naya Beer Garden - Anya Hotels & Resorts,Naya Beer Garden - Anya Hotels & Resorts,
Deluxe Chicken,Deluxe Chicken,
Mix@36 - The Westin Hotel,Mix@36 - The Westin Hotel,
Mudpipe Cafe,Mudpipe Cafe,
Jewel of Nizam,Jewel of Nizam,
L'Atelier,L'Atelier,
Karen Cafe Roof Top,Karen Cafe Roof Top,
Maini's Green Leaf,Maini's Green Leaf,
Panjabi Spice,Panjabi Spice,
My Cousin's Place,My Cousin's Place,
The Embassy,The Embassy,
China China,China China,
Wok in the Clouds,Wok in the Clouds,
Fozzie's Pizzaiolo,Fozzie's Pizzaiolo,
The Ants Cafe,The Ants Cafe,
Wild Spice,Wild Spice,
Buff Buffet Buff,Buff Buffet Buff,
Filmy Tadka,Filmy Tadka,
Cafe Cubano,Cafe Cubano,
Smally's Resto Cafe,Smally's Resto Cafe,
Whitefield Social,Whitefield Social,
Pool Cafe - The Lodhi,Pool Cafe - The Lodhi,
Dana Panee,Dana Panee,
Baker Street - Mahagun Metro Mall,Baker Street - Mahagun Metro Mall,
Square Plate,Square Plate,
Chinois,Chinois,
H3O,H3O,
Malt & Co. - Piccadily Hotel,Malt & Co. - Piccadily Hotel,
Xebra - The Sports Lounge,Xebra - The Sports Lounge,
9 Mars Lounge Bar,9 Mars Lounge Bar,
Page One,Page One,
Blue Ginger - The Taj West End Hotel,Blue Ginger - The Taj West End Hotel,
Tabla,Tabla,
Kiyan - Dusit Devarana,Kiyan - Dusit Devarana,
Chungs Pavilion,Chungs Pavilion,
Spice Project,Spice Project,
Handi Chhadeyan Di,Handi Chhadeyan Di,
Rajathadri Food Fort,Rajathadri Food Fort,
Destination,Destination,
Eastern Diner,Eastern Diner,
The Firefly,The Firefly,
Pind Balluchi - Grills & Platters,Pind Balluchi - Grills & Platters,
Bhojohori Manna,Bhojohori Manna,
M Bar & Kitchen,M Bar & Kitchen,
Cafe Goodluck,Cafe Goodluck,
Air Cafe Lounge,Air Cafe Lounge,
China Grill,China Grill,
Hotel Shree Pancharatna,Hotel Shree Pancharatna,
The Princess,The Princess,
Barbeque Deck,Barbeque Deck,
Rasa India,Rasa India,
Lahori Gate,Lahori Gate,
Darband Restaurant,Darband Restaurant,
Marz-O-Rin,Marz-O-Rin,
The Noodle Hub,The Noodle Hub,
TGI Friday's,TGI Friday's,
Brick Lane Cafe,Brick Lane Cafe,
Sahara Garden,Sahara Garden,
Tonic - The Bar,Tonic - The Bar,
Samarkand,Samarkand,
Curry Spice,Curry Spice,
Seasonal Tastes - The Westin Hotel,Seasonal Tastes - The Westin Hotel,
The Asian Box,The Asian Box,
Club London,Club London,
Biryani Binge,Biryani Binge,
Saffron - Park Plaza Bengaluru Hotel,Saffron - Park Plaza Bengaluru Hotel,
Kim Ling Mini Chinese,Kim Ling Mini Chinese,
Sarvam ,Sarvam ,
Apache - The Fluid Lounge,Apache - The Fluid Lounge,
Masala Dani,Masala Dani,
T.T.Salads & Grill,T.T.Salads & Grill,
Fork It,Fork It,
K3 - JW Marriott Hotel,K3 - JW Marriott Hotel,
Aureo Dine & Bake House,Aureo Dine & Bake House,
Celebration,Celebration,
Panchavati Gaurav,Panchavati Gaurav,
Mystery of Food,Mystery of Food,
Lounge & Bar - Eros Hotel,Lounge & Bar - Eros Hotel,
Kasbaa,Kasbaa,
Point Pleasant,Point Pleasant,
Biso - Citrus Hotel,Biso - Citrus Hotel,
Royal Spoon,Royal Spoon,
Amber,Amber,
Flavor Pirates,Flavor Pirates,
Home Cafe By Mr. Beans,Home Cafe By Mr. Beans,
Valentine,Valentine,
Open Terrace Garden - Mantra Amaltas,Open Terrace Garden - Mantra Amaltas,
Singkong,Singkong,
Tales & Spirits Bistro,Tales & Spirits Bistro,
Big Pitcher,Big Pitcher,
Black Jack,Black Jack,
Boulevard,Boulevard,
Garam Dharam,Garam Dharam,
Hybrid,Hybrid,
The Blue Door Cafe,The Blue Door Cafe,
Da Pizza Bakers,Da Pizza Bakers,
Pangaea - The Ashok Hotel,Pangaea - The Ashok Hotel,
Fez,Fez,
The Yogisthaan Cafe,The Yogisthaan Cafe,
Gardenia,Gardenia,
Royal Court,Royal Court,
F Bar & Lounge,F Bar & Lounge,
Sher-E-Punjab,Sher-E-Punjab,
Spicy Restaurant,Spicy Restaurant,
Old Tehrii Cafe & Lounge,Old Tehrii Cafe & Lounge,
Curry With a ' K ' - St. Mark's Hotel,Curry With a ' K ' - St. Mark's Hotel,
Spice Darbar,Spice Darbar,
Whistling Spices,Whistling Spices,
Delhi Down Town,Delhi Down Town,
Grand Destination,Grand Destination,
Quarterdeck,Quarterdeck,
New Gongura's,New Gongura's,
Shiraz Golden Restaurant,Shiraz Golden Restaurant,
Daily Bread,Daily Bread,
Shocolatery Cafe Bakery,Shocolatery Cafe Bakery,
Chandra Nizam's Kitchen,Chandra Nizam's Kitchen,
Barish Restaurant,Barish Restaurant,
Kim Li Loi,Kim Li Loi,
Warehouse love,Warehouse love,
Alfresco - Courtyard By Marriott,Alfresco - Courtyard By Marriott,
Dimple Resturant & Bar,Dimple Resturant & Bar,
The Red Sun - Tulip Inn Hotel,The Red Sun - Tulip Inn Hotel,
Crust,Crust,
Aqua - The Park Hotel,Aqua - The Park Hotel,
Sahara Dining Hall,Sahara Dining Hall,
Indigo Delicatessen,Indigo Delicatessen,
Chokhi Dhani,Chokhi Dhani,
Spice Curry,Spice Curry,
Sahi Dawaat,Sahi Dawaat,
The Eye Club - The HHI Hotel,The Eye Club - The HHI Hotel,
Down The Road Cafe,Down The Road Cafe,
Geoffrey's - Park Plaza,Geoffrey's - Park Plaza,
Signature Bar & Restaurant,Signature Bar & Restaurant,
Aaheli - The Peerless Inn,Aaheli - The Peerless Inn,
Benihana,Benihana,
Market Cafe,Market Cafe,
Clark Greens,Clark Greens,
Opt In,Opt In,
Gandharv Vegetarian ,Gandharv Vegetarian ,
Miniwok Oriental Kitchen,Miniwok Oriental Kitchen,
Silver Salt,Silver Salt,
Hotel Savitha Family Restaurant,Hotel Savitha Family Restaurant,
The Bridge - Tarawade Clarks Inn,The Bridge - Tarawade Clarks Inn,
ChocTales,ChocTales,
Delizio,Delizio,
Studio - The Pan-Asian Galerie,Studio - The Pan-Asian Galerie,
Rasam,Rasam,
Metropolis,Metropolis,
United Coffee House,United Coffee House,
The Vintage Avenue,The Vintage Avenue,
Masabaa - The Treasury,Masabaa - The Treasury,
Tarta - Double Tree By Hilton,Tarta - Double Tree By Hilton,
Noodle King,Noodle King,
Cafe Tros,Cafe Tros,
Sky Lord's Cafe,Sky Lord's Cafe,
The Garden Terrace - Maidens Hotel,The Garden Terrace - Maidens Hotel,
Golden Dragon - Taj Krishna,Golden Dragon - Taj Krishna,
Black Pepper Lounge,Black Pepper Lounge,
Dirty Apron,Dirty Apron,
Call For Cuisine,Call For Cuisine,
M Bar - Bangalore Marriott Hotel,M Bar - Bangalore Marriott Hotel,
Jcubez,Jcubez,
Grubshup,Grubshup,
Frenzone,Frenzone,
Dinner Bell,Dinner Bell,
Have Fun,Have Fun,
Ramailo,Ramailo,
UFF - Unique Food Funda,UFF - Unique Food Funda,
WOFL,WOFL,
Warehouse Cafe,Warehouse Cafe,
The Chatter House,The Chatter House,
Marigold Restaurant,Marigold Restaurant,
The Colony Bistro,The Colony Bistro,
Royale Sheesha & Restaurant,Royale Sheesha & Restaurant,
Cascade - Radisson Hyderabad Hitec City,Cascade - Radisson Hyderabad Hitec City,
Jajarmaan,Jajarmaan,
Urban Cafe,Urban Cafe,
Mughal Mahal Restaurant & Bar,Mughal Mahal Restaurant & Bar,
Hi Seoul,Hi Seoul,
Peshawri - ITC Sonar,Peshawri - ITC Sonar,
Hi Brew - Hotel Senses,Hi Brew - Hotel Senses,
Ashoka Tandoori Nights,Ashoka Tandoori Nights,
Ta'aam,Ta'aam,
Socie Tea,Socie Tea,
70 Brigade,70 Brigade,
Volga Restaurant,Volga Restaurant,
Sunset Bar,Sunset Bar,
Lazeez,Lazeez,
Bean It Up!!!,Bean It Up!!!,
Wok 'n Tava,Wok 'n Tava,
Chefrys,Chefrys,
Shahi Handi,Shahi Handi,
Lajawab Family Restaurant,Lajawab Family Restaurant,
Ekant Restaurant,Ekant Restaurant,
Fio Cookhouse & Bar,Fio Cookhouse & Bar,
60 Ml,60 Ml,
Saffron Vegetarian,Saffron Vegetarian,
Sai Sagar,Sai Sagar,
Wah! Amritsar,Wah! Amritsar,
California Burrito,California Burrito,
Bulldogs,Bulldogs,
China Fare,China Fare,
Mosaic,Mosaic,
Waffle House,Waffle House,
Mockaholic Restro Beer Cafe,Mockaholic Restro Beer Cafe,
Blinque,Blinque,
Nasi And Mee,Nasi And Mee,
Deli 9,Deli 9,
Irie,Irie,
Chowringhee,Chowringhee,
The Submarine Lounge,The Submarine Lounge,
Fanoos,Fanoos,
Shree Krishna,Shree Krishna,
Pintu Saoji,Pintu Saoji,
Manali Multispice,Manali Multispice,
Sway Bar & Kitchen,Sway Bar & Kitchen,
Bakers Inn,Bakers Inn,
Hideout - Golden Tulip Bangalore,Hideout - Golden Tulip Bangalore,
Tiger Trail - Hotel Ramada,Tiger Trail - Hotel Ramada,
The Cliff,The Cliff,
Spiritual - DoubleTree by Hilton,Spiritual - DoubleTree by Hilton,
Mint Leaf,Mint Leaf,
Hanoi Vietnamese Cuisine,Hanoi Vietnamese Cuisine,
Hotel Shaurya,Hotel Shaurya,
Tangra,Tangra,
Laajawaab,Laajawaab,
Asia 21,Asia 21,
Radhe Krishna,Radhe Krishna,
Sarson 360,Sarson 360,
Turquoise Bar,Turquoise Bar,
Daikichi,Daikichi,
The Tandoori Village,The Tandoori Village,
Emperor Lounge - Emperor Lounge,Emperor Lounge - Emperor Lounge,
Hell's Kitchen,Hell's Kitchen,
Melange - Seasons Apartment Hotel ,Melange - Seasons Apartment Hotel ,
Shandong,Shandong,
Lemon Twist,Lemon Twist,
Mandarin Trail,Mandarin Trail,
Qureshi's Kabab Corner,Qureshi's Kabab Corner,
The Spoon - Hotel 37th Crescent,The Spoon - Hotel 37th Crescent,
D N Hukka Lounge,D N Hukka Lounge,
Chinese Pavilion,Chinese Pavilion,
Bootlegger ,Bootlegger ,
VDEN - Vedic Village Spa Resort,VDEN - Vedic Village Spa Resort,
Comfy,Comfy,
Bayleaf - Courtyard Marriott,Bayleaf - Courtyard Marriott,
Skypark Cafe,Skypark Cafe,
Little Italy Ristorante,Little Italy Ristorante,
Pita Pit,Pita Pit,
UP North,UP North,
Apache High Street,Apache High Street,
Ginseng - Hotel Royal Orchid,Ginseng - Hotel Royal Orchid,
Peshkash,Peshkash,
Nine 75,Nine 75,
Xntilate,Xntilate,
Modi's Baker's Zone,Modi's Baker's Zone,
Pepper Jack,Pepper Jack,
