unit_type,unit_value,unit_variants
currency,rupees,rupees | rupee | rs | rupya | rupaya | rupaye | rupye | rupay | paisa | paise | inr | ₹  |  টাকা | ভারতীয় রুপি | রুপি
currency,dollar,Dollar | usd | $ | ডলার
