key,present_in_start,adding_magnitude,datetime_type
পরবর্তীতে|Parabartite|পরে|Pore,0,1,add_diff_datetime
হয়|এই|Hoy|Ei,1,0,add_diff_datetime
গত|আগে|Gat|Gata|age,1,-1,add_diff_datetime
পরবর্তী|আগের|আগামী|Parabartī|agami|agera|Parabati,1,1,add_diff_datetime
আমাকে|Amake,0,1,add_diff_datetime
1 এবং চতুর্থাংশ|1 ebam cathurthansa,1,0.25,ref_datetime
3 চতুর্থ|3 Caturtha,1,-0.25,ref_datetime
এক এবং অর্ধেক|Eka ebam ardhek,1,0.5,ref_datetime
