unit_type,unit_value,unit_variants
currency,rupees,rupees | rupee | rs | rupya | rupaya | rupaye | rupye | rupay | paisa | paise | inr | ₹  | रुपये| पैसे | पैसा
currency,dollar,Dollar | usd | $ | डॉलर
