key,present_in_start,adding_magnitude,datetime_type
baad,FALSE,1,add_diff_datetime
is|isi,TRUE,0,add_diff_datetime
pahle|pehle|pahla|pehla,FALSE,-1,add_diff_datetime
pichhla|pichla|pichhle|pichle,TRUE,-1,add_diff_datetime
agle|agla|agli,TRUE,1,add_diff_datetime
me,FALSE,1,add_diff_datetime
sawa|sava,TRUE,0.25,ref_datetime
paune,TRUE,-0.25,ref_datetime
